text,emotion
I am feeling very happy today,joy
This is the best day ever,joy
I love spending time with my friends,joy
I feel amazing and energetic,joy
That was a wonderful experience,joy
I am so excited about my trip,joy
Life is beautiful and full of joy,joy
I am enjoying every moment,joy
This made me smile a lot,joy
I feel blessed and grateful,joy
I hate this so much,anger
This is the worst thing ever,anger
I am very angry right now,anger
He ruined everything,anger
I cannot tolerate this anymore,anger
This is so frustrating,anger
I feel like breaking something,anger
Why does this always happen to me,anger
I am really upset and mad,anger
This makes me furious,anger
I feel so sad today,sadness
I am feeling lonely,sadness
This broke my heart,sadness
I can't stop crying,sadness
I feel empty inside,sadness
Everything feels meaningless,sadness
I miss those days,sadness
I feel down and depressed,sadness
Nothing is going right,sadness
I feel so hurt,sadness
I am scared of what will happen,fear
This situation terrifies me,fear
I feel very nervous,fear
I am afraid to try,fear
What if something goes wrong,fear
This is very frightening,fear
I feel anxious about tomorrow,fear
I am worried about the results,fear
This gives me chills,fear
I feel unsafe here,fear
Wow this is unbelievable,surprise
I did not expect this,surprise
This shocked me a lot,surprise
What a surprise,surprise
I am amazed by this,surprise
This is totally unexpected,surprise
I can't believe my eyes,surprise
This is shocking news,surprise
That was surprising,surprise
Oh my god I did not see that coming,surprise
I am very happy with the results,joy
Today is a great day,joy
I feel so cheerful,joy
Everything is going perfectly,joy
I am loving this moment,joy
This is wonderful news,joy
I feel delighted,joy
I am extremely satisfied,joy
I feel joyful and content,joy
This is fantastic,joy
I am really angry about this,anger
This is unacceptable,anger
I feel irritated,anger
Why is this happening again,anger
I am losing my patience,anger
This is getting on my nerves,anger
I am very annoyed,anger
I can't stand this,anger
This is ridiculous,anger
I am boiling with anger,anger
I feel so low today,sadness
I am not okay,sadness
This made me very sad,sadness
I feel broken,sadness
I am crying inside,sadness
I feel hopeless,sadness
Nothing makes me happy,sadness
I feel lost,sadness
I am deeply hurt,sadness
I feel miserable,sadness
I am scared to face this,fear
This is very risky,fear
I feel tense,fear
I am afraid of failing,fear
This is dangerous,fear
I feel uneasy,fear
I am panicking,fear
This makes me nervous,fear
I feel threatened,fear
I am worried sick,fear
This is shocking,surprise
I can't believe this happened,surprise
This is surprising news,surprise
I am stunned,surprise
This caught me off guard,surprise
I did not expect that at all,surprise
This is mind blowing,surprise
I am speechless,surprise
That was totally unexpected,surprise
Wow I am surprised,surprise
